problem,stamina,time
sastp10,43.2979,0.000194
sastp10,43.2979,0.000184
sastp10,43.2979,0.000184
sastp10,43.2979,0.000184
sastp10,43.2979,0.000185
sastp10,43.2979,0.000185
sastp10,43.2979,0.000185
sastp10,43.2979,0.000185
sastp10,43.2979,0.000182
sastp10,43.2979,0.000183
sastp10,43.2979,0.000185
sastp10,43.2979,0.000183
sastp10,43.2979,0.000182
sastp10,43.2979,0.000181
sastp10,43.2979,0.000185
sastp10,43.2979,0.000184
sastp10,43.2979,0.000183
sastp10,43.2979,0.000182
sastp10,43.2979,0.000185
sastp10,43.2979,0.000182
sastp10,43.2979,0.000184
sastp10,43.2979,0.000184
sastp10,43.2979,0.000183
sastp10,43.2979,0.000183
sastp10,43.2979,0.000184
sastp10,43.2979,0.000185
sastp10,43.2979,0.000183
sastp10,43.2979,0.000184
sastp10,43.2979,0.000183
sastp10,43.2979,0.000341
sastp20,67.2554,0.000394
sastp20,67.2554,0.0004
sastp20,67.2554,0.00058
sastp20,67.2554,0.000433
sastp20,67.2554,0.0004
sastp20,67.2554,0.000397
sastp20,67.2554,0.000419
sastp20,67.2554,0.000394
sastp20,67.2554,0.000399
sastp20,67.2554,0.000392
sastp20,67.2554,0.000393
sastp20,67.2554,0.00043
sastp20,67.2554,0.000396
sastp20,67.2554,0.000399
sastp20,67.2554,0.000395
sastp20,67.2554,0.000395
sastp20,67.2554,0.000394
sastp20,67.2554,0.000393
sastp20,67.2554,0.000396
sastp20,67.2554,0.000418
sastp20,67.2554,0.000394
sastp20,67.2554,0.0004
sastp20,67.2554,0.000395
sastp20,67.2554,0.000395
sastp20,67.2554,0.000416
sastp20,67.2554,0.000394
sastp20,67.2554,0.000394
sastp20,67.2554,0.000399
sastp20,67.2554,0.000395
sastp20,67.2554,0.0004
sastp50,172.778,0.000785
sastp50,172.778,0.000792
sastp50,172.778,0.000789
sastp50,172.778,0.00093
sastp50,172.778,0.000806
sastp50,172.778,0.000818
sastp50,172.778,0.000888
sastp50,172.778,0.000787
sastp50,172.778,0.000798
sastp50,172.778,0.000789
sastp50,172.778,0.000784
sastp50,172.778,0.000804
