Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003439, last improvement: 0.001368)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003884, last improvement: 0.001063)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.004687, last improvement: 0.002651)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.040519, last improvement: 0.002151)
Found solution to sastp10 (time: 46.1321, satisfaction: 38.8679, stamina: 0, length: 7, runtime: 0.005098, last improvement: 0.003099)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.023324, last improvement: 0.014333)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003406, last improvement: 0.001385)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.004314, last improvement: 0.002381)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003531, last improvement: 0.001545)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.034299, last improvement: 0.032227)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.004028, last improvement: 0.001985)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.010655, last improvement: 0.00865)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.005896, last improvement: 0.003905)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003625, last improvement: 0.001632)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.004024, last improvement: 0.001931)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.002695, last improvement: 0.000721)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.004104, last improvement: 0.002138)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.017343, last improvement: 0.015288)
Found solution to sastp10 (time: 48.2949, satisfaction: 40.7051, stamina: 0, length: 7, runtime: 0.004153, last improvement: 0.002064)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.028008, last improvement: 0.001644)
Found solution to sastp10 (time: 45.1111, satisfaction: 39.8889, stamina: 0, length: 7, runtime: 0.004602, last improvement: 0.001595)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003404, last improvement: 0.001409)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003092, last improvement: 0.001056)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003479, last improvement: 0.001397)
Found solution to sastp10 (time: 47.6673, satisfaction: 35.3327, stamina: 0, length: 7, runtime: 0.003461, last improvement: 0.001306)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.014569, last improvement: 0.001096)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.007879, last improvement: 0.003993)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.019509, last improvement: 0.017483)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.003304, last improvement: 0.001288)
Found solution to sastp10 (time: 49.1111, satisfaction: 41.8889, stamina: 0, length: 7, runtime: 0.014682, last improvement: 0.002365)
Found solution to sastp100 (time: 499.867, satisfaction: 412.133, stamina: 0, length: 53, runtime: 0.092875, last improvement: 0.058679)
Found solution to sastp100 (time: 499.972, satisfaction: 419.028, stamina: 0, length: 51, runtime: 0.130074, last improvement: 0.095728)
Found solution to sastp100 (time: 498.72, satisfaction: 408.28, stamina: 0, length: 51, runtime: 0.147274, last improvement: 0.114054)
Found solution to sastp100 (time: 499.547, satisfaction: 426.453, stamina: 0, length: 54, runtime: 0.15986, last improvement: 0.123529)
Found solution to sastp100 (time: 499.938, satisfaction: 433.062, stamina: 0, length: 56, runtime: 0.146382, last improvement: 0.111333)
Found solution to sastp100 (time: 499.346, satisfaction: 414.654, stamina: 0, length: 53, runtime: 0.119102, last improvement: 0.086851)
Found solution to sastp100 (time: 492.617, satisfaction: 424.383, stamina: 0, length: 52, runtime: 0.150921, last improvement: 0.117361)
Found solution to sastp100 (time: 498.099, satisfaction: 410.901, stamina: 0, length: 52, runtime: 0.143312, last improvement: 0.108511)
Found solution to sastp100 (time: 498.471, satisfaction: 435.529, stamina: 0, length: 56, runtime: 0.200997, last improvement: 0.154944)
Found solution to sastp100 (time: 499.643, satisfaction: 421.357, stamina: 0, length: 53, runtime: 0.140441, last improvement: 0.104694)
Found solution to sastp100 (time: 499.648, satisfaction: 421.352, stamina: 0, length: 54, runtime: 0.122821, last improvement: 0.089044)
Found solution to sastp100 (time: 499.778, satisfaction: 417.222, stamina: 0, length: 54, runtime: 0.11995, last improvement: 0.086991)
Found solution to sastp100 (time: 499.397, satisfaction: 427.603, stamina: 0, length: 53, runtime: 0.12749, last improvement: 0.092728)
Found solution to sastp100 (time: 497.239, satisfaction: 435.761, stamina: 0, length: 55, runtime: 0.147223, last improvement: 0.111957)
Found solution to sastp100 (time: 499.849, satisfaction: 412.151, stamina: 0, length: 54, runtime: 0.12995, last improvement: 0.096161)
Found solution to sastp100 (time: 499.668, satisfaction: 434.332, stamina: 0, length: 56, runtime: 0.150317, last improvement: 0.114739)
Found solution to sastp100 (time: 498.74, satisfaction: 416.26, stamina: 0, length: 52, runtime: 0.148099, last improvement: 0.114776)
Found solution to sastp100 (time: 496.461, satisfaction: 422.539, stamina: 0, length: 53, runtime: 0.130382, last improvement: 0.095781)
Found solution to sastp100 (time: 499.868, satisfaction: 426.132, stamina: 0, length: 54, runtime: 0.125684, last improvement: 0.090546)
Found solution to sastp100 (time: 499.752, satisfaction: 429.248, stamina: 0, length: 53, runtime: 0.141637, last improvement: 0.107757)
Found solution to sastp100 (time: 496.816, satisfaction: 425.184, stamina: 0, length: 53, runtime: 0.139238, last improvement: 0.103955)
Found solution to sastp100 (time: 492.027, satisfaction: 423.973, stamina: 0, length: 54, runtime: 0.138923, last improvement: 0.104829)
Found solution to sastp100 (time: 497.429, satisfaction: 433.571, stamina: 0, length: 56, runtime: 0.15031, last improvement: 0.113532)
Found solution to sastp100 (time: 497.505, satisfaction: 426.495, stamina: 0, length: 54, runtime: 0.15614, last improvement: 0.120051)
Found solution to sastp100 (time: 499.443, satisfaction: 424.557, stamina: 0, length: 54, runtime: 0.184359, last improvement: 0.149926)
Found solution to sastp100 (time: 498.513, satisfaction: 415.487, stamina: 0, length: 53, runtime: 0.147811, last improvement: 0.112439)
Found solution to sastp100 (time: 497.838, satisfaction: 428.162, stamina: 0, length: 54, runtime: 0.131369, last improvement: 0.097424)
Found solution to sastp100 (time: 496.881, satisfaction: 427.119, stamina: 0, length: 54, runtime: 0.128242, last improvement: 0.091692)
Found solution to sastp100 (time: 496.226, satisfaction: 409.774, stamina: 0, length: 53, runtime: 0.14041, last improvement: 0.106278)
Found solution to sastp100 (time: 497.294, satisfaction: 421.706, stamina: 0, length: 53, runtime: 0.125474, last improvement: 0.092279)
Found solution to sastp1000 (time: 4998.89, satisfaction: 4161.11, stamina: 0, length: 501, runtime: 0.637178, last improvement: 0.274593)
Found solution to sastp1000 (time: 4997.75, satisfaction: 4147.25, stamina: 0, length: 505, runtime: 1.15844, last improvement: 0.760223)
